日付け,終値,始値,高値,安値,出来高,前日比%
2014年6月,15162.10 ,14777.51 ,15442.67 ,14777.51 ,27.15B,3.62%
2014年7月,15620.77 ,15179.64 ,15759.66 ,15101.49 ,24.68B,3.03%
2014年8月,15424.59 ,15511.54 ,15628.78 ,14753.84 ,23.01B,-1.26%
2014年9月,16173.52 ,15454.59 ,16374.14 ,15440.99 ,25.30B,4.86%
2014年10月,16413.76 ,16173.39 ,16533.91 ,14529.03 ,34.36B,1.49%
2014年11月,17459.85 ,16732.85 ,17520.54 ,16713.37 ,31.55B,6.37%
2014年12月,17450.77 ,17475.10 ,18030.83 ,16672.94 ,29.63B,-0.05%
2015年1月,17674.39 ,17325.68 ,17850.59 ,16592.57 ,26.92B,1.28%
2015年2月,18797.94 ,17536.61 ,18865.39 ,17271.87 ,29.75B,6.36%
2015年3月,19206.99 ,18869.40 ,19778.60 ,18577.06 ,31.92B,2.18%
2015年4月,19520.01 ,19129.75 ,20252.12 ,18927.95 ,30.47B,1.63%
2015年5月,20563.15 ,19510.85 ,20655.33 ,19257.85 ,32.92B,5.34%
2015年6月,20235.73 ,20444.54 ,20952.71 ,19990.55 ,34.65B,-1.59%
2015年7月,20585.24 ,20291.05 ,20850.00 ,19115.20 ,33.18B,1.73%
2015年8月,18890.48 ,20540.21 ,20946.93 ,17714.30 ,37.28B,-8.23%
2015年9月,17388.15 ,18763.72 ,18777.47 ,16901.49 ,31.33B,-7.95%
2015年10月,19083.10 ,17479.97 ,19202.34 ,17389.57 ,29.80B,9.75%
2015年11月,19747.47 ,18827.11 ,19994.05 ,18641.22 ,25.60B,3.48%
2015年12月,19033.71 ,19799.08 ,20012.40 ,18562.51 ,27.53B,-3.61%
2016年1月,17518.30 ,18818.58 ,18951.12 ,16017.26 ,32.41B,-7.96%
2016年2月,16026.76 ,17699.60 ,17905.37 ,14865.77 ,41.74B,-8.51%
2016年3月,16758.67 ,16013.00 ,17291.35 ,15857.37 ,33.07B,4.57%
2016年4月,16666.05 ,16719.56 ,17613.56 ,15471.80 ,32.30B,-0.55%
2016年5月,17234.98 ,16357.10 ,17251.36 ,15975.47 ,25.72B,3.41%
2016年6月,15575.92 ,17097.22 ,17145.95 ,14864.01 ,30.96B,-9.63%
2016年7月,16569.27 ,15698.02 ,16938.96 ,15106.52 ,28.17B,6.38%
2016年8月,16887.40 ,16415.31 ,16943.67 ,15921.04 ,26.76B,1.92%
2016年9月,16449.84 ,16885.16 ,17156.36 ,16285.41 ,24.93B,-2.59%
2016年10月,17425.02 ,16566.03 ,17461.03 ,16554.83 ,22.23B,5.93%
2016年11月,18308.48 ,17380.54 ,18482.94 ,16111.81 ,32.37B,5.07%
2016年12月,19114.37 ,18535.24 ,19592.90 ,18227.39 ,30.79B,4.40%
2017年1月,19041.34 ,19298.68 ,19615.40 ,18650.33 ,24.08B,-0.38%
2017年2月,19118.99 ,18926.97 ,19519.44 ,18805.32 ,26.06B,0.41%
2017年3月,18909.26 ,19226.94 ,19668.01 ,18909.26 ,26.46B,-1.10%
2017年4月,19196.74 ,18988.00 ,19289.43 ,18224.68 ,24.29B,1.52%
2017年5月,19650.57 ,19154.03 ,19998.49 ,19144.62 ,22.99B,2.36%
2017年6月,20033.43 ,19692.16 ,20318.11 ,19686.32 ,23.99B,1.95%
2017年7月,19925.18 ,20056.32 ,20200.88 ,19856.65 ,18.46B,-0.54%
2017年8月,19646.24 ,19907.08 ,20113.73 ,19280.02 ,19.34B,-1.40%
2017年9月,20356.28 ,19733.57 ,20481.27 ,19239.52 ,18.63B,3.61%
2017年10月,22011.61 ,20400.51 ,22086.88 ,20363.28 ,19.31B,8.13%
2017年11月,22724.96 ,22144.92 ,23382.15 ,21972.34 ,20.43B,3.24%
2017年12月,22764.94 ,22916.93 ,22994.33 ,22119.21 ,16.31B,0.18%
2018年1月,23098.29 ,23073.73 ,24129.34 ,23065.20 ,16.56B,1.46%
2018年2月,22068.24 ,23276.10 ,23492.77 ,20950.15 ,18.97B,-4.46%
2018年3月,21454.30 ,21901.13 ,21971.16 ,20347.49 ,17.86B,-2.78%
2018年4月,22467.87 ,21441.57 ,22495.56 ,21056.02 ,14.29B,4.72%
2018年5月,22201.82 ,22453.42 ,23050.39 ,21931.65 ,16.57B,-1.18%
2018年6月,22304.51 ,22126.25 ,23011.57 ,22038.40 ,15.60B,0.46%
