日付け,終値,始値,高値,安値,出来高,前日比%
2004年8月,11081.79 ,11274.45 ,11279.71 ,10545.89 ,1.48M,-2.15%
2004年9月,10823.57 ,11104.85 ,11357.85 ,10737.78 ,1.67M,-2.33%
2004年10月,10771.42 ,10893.19 ,11410.40 ,10575.23 ,1.59M,-0.48%
2004年11月,10899.25 ,10731.02 ,11268.81 ,10690.95 ,1.40M,1.19%
2004年12月,11488.76 ,10790.45 ,11500.95 ,10721.59 ,1.44M,5.41%
2005年1月,11387.59 ,11458.27 ,11580.69 ,11212.63 ,1.62M,-0.88%
2005年2月,11740.60 ,11422.02 ,11754.90 ,11271.04 ,1.67M,3.10%
2005年3月,11668.95 ,11734.14 ,11975.46 ,11506.85 ,2.03M,-0.61%
2005年4月,11008.90 ,11590.45 ,11911.90 ,10770.58 ,1.67M,-5.66%
2005年5月,11276.59 ,10954.21 ,11302.52 ,10788.59 ,1.45M,2.43%
2005年6月,11584.01 ,11220.94 ,11594.57 ,11148.36 ,1.62M,2.73%
2005年7月,11899.60 ,11573.37 ,11913.50 ,11540.93 ,1.43M,2.72%
2005年8月,12413.60 ,11907.42 ,12612.16 ,11614.71 ,2.34M,4.32%
2005年9月,13574.30 ,12501.43 ,13678.44 ,12498.40 ,3.27M,9.35%
2005年10月,13606.50 ,13566.20 ,13783.60 ,12996.29 ,3.28M,0.24%
2005年11月,14872.15 ,13718.21 ,15013.24 ,13706.33 ,3.47M,9.30%
2005年12月,16111.43 ,14914.75 ,16445.56 ,14880.18 ,3.24M,8.33%
2006年1月,16649.82 ,16294.65 ,16754.60 ,15059.52 ,2.68M,3.34%
2006年2月,16205.43 ,16594.90 ,16777.37 ,15389.58 ,2.77M,-2.67%
2006年3月,17059.66 ,16026.82 ,17125.64 ,15553.14 ,2.39M,5.27%
2006年4月,16906.23 ,17127.61 ,17563.37 ,16750.50 ,2.15M,-0.90%
2006年5月,15467.33 ,16929.83 ,17375.25 ,15442.53 ,2.34M,-8.51%
2006年6月,15505.18 ,15603.25 ,15789.31 ,14045.53 ,2.53M,0.24%
2006年7月,15456.81 ,15573.35 ,15710.39 ,14437.24 ,2.09M,-0.31%
2006年8月,16140.76 ,15387.52 ,16244.84 ,15154.06 ,2.28M,4.42%
2006年9月,16127.58 ,16072.81 ,16414.94 ,15513.87 ,2.06M,-0.08%
2006年10月,16399.39 ,16169.00 ,16901.53 ,16028.32 ,2.21M,1.69%
2006年11月,16274.33 ,16338.72 ,16512.51 ,15615.56 ,2.14M,-0.76%
2006年12月,17225.83 ,16313.02 ,17301.69 ,16185.92 ,2.42M,5.85%
2007年1月,17383.42 ,17322.50 ,17617.64 ,16758.46 ,2.67M,0.91%
2007年2月,17604.12 ,17377.03 ,18300.39 ,17199.66 ,3.26M,1.27%
2007年3月,17287.65 ,17542.23 ,17558.04 ,16532.91 ,3.40M,-1.80%
2007年4月,17400.41 ,17346.25 ,17782.08 ,16999.05 ,2.60M,0.65%
2007年5月,17875.75 ,17396.30 ,17875.75 ,17203.03 ,2.76M,2.73%
2007年6月,18138.36 ,17949.92 ,18297.00 ,17591.93 ,2.73M,1.47%
2007年7月,17248.89 ,18139.04 ,18295.27 ,17042.66 ,2.64M,-4.90%
2007年8月,16569.09 ,17169.20 ,17274.33 ,15262.10 ,3.20M,-3.94%
2007年9月,16785.69 ,16511.07 ,16929.26 ,15610.65 ,20.69B,1.31%
2007年10月,16737.63 ,16773.10 ,17488.97 ,16199.02 ,26.33B,-0.29%
2007年11月,15680.67 ,16812.90 ,16887.04 ,14669.85 ,30.90B,-6.31%
2007年12月,15307.78 ,15747.47 ,16107.65 ,14998.01 ,23.31B,-2.38%
2008年1月,13592.47 ,15155.73 ,15156.66 ,12572.68 ,31.14B,-11.21%
2008年2月,13603.02 ,13517.74 ,14105.47 ,12923.42 ,29.16B,0.08%
2008年3月,12525.54 ,13412.87 ,13413.63 ,11691.00 ,28.21B,-7.92%
2008年4月,13849.99 ,12539.80 ,14003.28 ,12521.84 ,25.73B,10.57%
2008年5月,14338.54 ,13802.59 ,14392.53 ,13540.68 ,27.00B,3.53%
2008年6月,13481.38 ,14342.96 ,14601.27 ,13453.35 ,28.26B,-5.98%
